1106.2622 	EXP 	stimulus: autoDraw = False
1106.2622 	EXP 	stimulus: image = u'+.png'
1106.3861 	EXP 	cue: autoDraw = True
1106.5109 	EXP 	cue: autoDraw = False
1108.0424 	EXP 	stimulus: autoDraw = True
1108.1676 	EXP 	stimulus: autoDraw = False
1110.6413 	EXP 	New trial (rep=9, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1110.8708 	EXP 	cue: autoDraw = False
1110.8708 	EXP 	stimulus: autoDraw = False
1110.8708 	EXP 	stimulus: image = u'x.png'
1110.8708 	EXP 	cue: autoDraw = True
1110.9642 	EXP 	cue: autoDraw = False
1112.4962 	EXP 	stimulus: autoDraw = True
1112.6212 	EXP 	stimulus: autoDraw = False
1112.7789 	DATA 	Keypress: tab
1115.0917 	EXP 	New trial (rep=10, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1115.1536 	EXP 	cue: autoDraw = False
1115.1536 	EXP 	stimulus: autoDraw = False
1115.1536 	EXP 	stimulus: image = u'+.png'
1115.2779 	EXP 	cue: autoDraw = True
1115.3884 	EXP 	cue: autoDraw = False
1116.9317 	EXP 	stimulus: autoDraw = True
1117.0573 	EXP 	stimulus: autoDraw = False
1119.5274 	EXP 	New trial (rep=10, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1119.7455 	EXP 	cue: autoDraw = False
1119.7455 	EXP 	stimulus: autoDraw = False
1119.7455 	EXP 	stimulus: image = u'x.png'
1119.7455 	EXP 	cue: autoDraw = True
1119.8391 	EXP 	cue: autoDraw = False
1121.3707 	EXP 	stimulus: autoDraw = True
1121.4957 	EXP 	stimulus: autoDraw = False
1121.9336 	DATA 	Keypress: tab
1123.9661 	EXP 	New trial (rep=11, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1124.0284 	EXP 	cue: autoDraw = False
1124.0284 	EXP 	stimulus: autoDraw = False
1124.0284 	EXP 	stimulus: image = u'+.png'
1124.1521 	EXP 	cue: autoDraw = True
1124.2772 	EXP 	cue: autoDraw = False
1125.8226 	EXP 	stimulus: autoDraw = True
1125.9482 	EXP 	stimulus: autoDraw = False
1128.4178 	EXP 	New trial (rep=11, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1128.6358 	EXP 	cue: autoDraw = False
1128.6358 	EXP 	stimulus: autoDraw = False
1128.6358 	EXP 	stimulus: image = u'x.png'
1128.6358 	EXP 	cue: autoDraw = True
1128.7293 	EXP 	cue: autoDraw = False
1130.2611 	EXP 	stimulus: autoDraw = True
1130.3856 	EXP 	stimulus: autoDraw = False
1130.5876 	DATA 	Keypress: tab
1132.8559 	EXP 	New trial (rep=12, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1133.1050 	EXP 	cue: autoDraw = False
1133.1050 	EXP 	stimulus: autoDraw = False
1133.1050 	EXP 	stimulus: image = u'x.png'
1133.1050 	EXP 	cue: autoDraw = True
1133.1674 	EXP 	cue: autoDraw = False
1134.6990 	EXP 	stimulus: autoDraw = True
1134.8240 	EXP 	stimulus: autoDraw = False
1135.1066 	DATA 	Keypress: tab
1137.3090 	EXP 	New trial (rep=12, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1137.3727 	EXP 	cue: autoDraw = False
1137.3727 	EXP 	stimulus: autoDraw = False
1137.3727 	EXP 	stimulus: image = u'+.png'
1137.4954 	EXP 	cue: autoDraw = True
1137.6205 	EXP 	cue: autoDraw = False
1139.1522 	EXP 	stimulus: autoDraw = True
1139.2770 	EXP 	stimulus: autoDraw = False
1141.7448 	EXP 	New trial (rep=13, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1142.0412 	EXP 	cue: autoDraw = False
1142.0412 	EXP 	stimulus: autoDraw = False
1142.0412 	EXP 	stimulus: image = u'x.png'
1142.0412 	EXP 	cue: autoDraw = True
1142.0719 	EXP 	cue: autoDraw = False
1143.6034 	EXP 	stimulus: autoDraw = True
1143.7283 	EXP 	stimulus: autoDraw = False
1144.1039 	DATA 	Keypress: tab
1146.1981 	EXP 	New trial (rep=13, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1146.2608 	EXP 	cue: autoDraw = False
1146.2608 	EXP 	stimulus: autoDraw = False
1146.2608 	EXP 	stimulus: image = u'+.png'
1146.3853 	EXP 	cue: autoDraw = True
1146.5104 	EXP 	cue: autoDraw = False
1148.0581 	EXP 	stimulus: autoDraw = True
1148.1829 	EXP 	stimulus: autoDraw = False
1150.6435 	EXP 	New trial (rep=14, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1150.9007 	EXP 	cue: autoDraw = False
1150.9007 	EXP 	stimulus: autoDraw = False
1150.9007 	EXP 	stimulus: image = u'x.png'
1150.9007 	EXP 	cue: autoDraw = True
1150.9630 	EXP 	cue: autoDraw = False
1152.4940 	EXP 	stimulus: autoDraw = True
1152.6190 	EXP 	stimulus: autoDraw = False
1152.9319 	DATA 	Keypress: tab
1155.0890 	EXP 	New trial (rep=14, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1155.1512 	EXP 	cue: autoDraw = False
1155.1512 	EXP 	stimulus: autoDraw = False
