106.4068 	EXP 	New trial (rep=7, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
106.6717 	EXP 	cue: autoDraw = False
106.6717 	EXP 	stimulus: autoDraw = False
106.6717 	EXP 	stimulus: image = u'x.png'
106.6717 	EXP 	cue: autoDraw = True
106.7056 	EXP 	cue: autoDraw = False
108.2624 	EXP 	stimulus: autoDraw = True
108.3874 	EXP 	stimulus: autoDraw = False
108.5753 	DATA 	Keypress: space
110.8580 	EXP 	New trial (rep=8, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
111.0599 	EXP 	cue: autoDraw = False
111.0599 	EXP 	stimulus: autoDraw = False
111.0599 	EXP 	stimulus: image = u'x.png'
111.0599 	EXP 	cue: autoDraw = True
111.1848 	EXP 	cue: autoDraw = False
112.7174 	EXP 	stimulus: autoDraw = True
112.8422 	EXP 	stimulus: autoDraw = False
113.0613 	DATA 	Keypress: space
115.3128 	EXP 	New trial (rep=8, index=1): {u'stimFile': u'+.png', u'corrAns': None}
115.3749 	EXP 	cue: autoDraw = False
115.3749 	EXP 	stimulus: autoDraw = False
115.3749 	EXP 	stimulus: image = u'+.png'
115.4988 	EXP 	cue: autoDraw = True
115.6242 	EXP 	cue: autoDraw = False
117.1566 	EXP 	stimulus: autoDraw = True
117.2817 	EXP 	stimulus: autoDraw = False
119.7645 	EXP 	New trial (rep=9, index=0): {u'stimFile': u'+.png', u'corrAns': None}
119.8102 	EXP 	cue: autoDraw = False
119.8102 	EXP 	stimulus: autoDraw = False
119.8102 	EXP 	stimulus: image = u'+.png'
119.9664 	EXP 	cue: autoDraw = True
120.0919 	EXP 	cue: autoDraw = False
121.6230 	EXP 	stimulus: autoDraw = True
121.7241 	EXP 	stimulus: autoDraw = False
124.2114 	EXP 	New trial (rep=9, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
124.4773 	EXP 	cue: autoDraw = False
124.4773 	EXP 	stimulus: autoDraw = False
124.4773 	EXP 	stimulus: image = u'x.png'
124.4773 	EXP 	cue: autoDraw = True
124.5383 	EXP 	cue: autoDraw = False
126.0696 	EXP 	stimulus: autoDraw = True
126.1948 	EXP 	stimulus: autoDraw = False
126.3827 	DATA 	Keypress: space
128.6567 	EXP 	New trial (rep=10, index=0): {u'stimFile': u'+.png', u'corrAns': None}
128.7188 	EXP 	cue: autoDraw = False
128.7188 	EXP 	stimulus: autoDraw = False
128.7188 	EXP 	stimulus: image = u'+.png'
128.8280 	EXP 	cue: autoDraw = True
128.9835 	EXP 	cue: autoDraw = False
130.5149 	EXP 	stimulus: autoDraw = True
130.6397 	EXP 	stimulus: autoDraw = False
133.0969 	EXP 	New trial (rep=10, index=1): {u'stimFile': u'x.png', u'corrAns': u'space'}
133.3919 	EXP 	cue: autoDraw = False
133.3919 	EXP 	stimulus: autoDraw = False
133.3919 	EXP 	stimulus: image = u'x.png'
133.3919 	EXP 	cue: autoDraw = True
133.4226 	EXP 	cue: autoDraw = False
134.9547 	EXP 	stimulus: autoDraw = True
135.0798 	EXP 	stimulus: autoDraw = False
135.2676 	DATA 	Keypress: space
137.5474 	EXP 	New trial (rep=11, index=0): {u'stimFile': u'x.png', u'corrAns': u'space'}
137.7490 	EXP 	cue: autoDraw = False
137.7490 	EXP 	stimulus: autoDraw = False
137.7490 	EXP 	stimulus: image = u'x.png'
137.7490 	EXP 	cue: autoDraw = True
137.8738 	EXP 	cue: autoDraw = False
139.4057 	EXP 	stimulus: autoDraw = True
139.5301 	EXP 	stimulus: autoDraw = False
139.8745 	DATA 	Keypress: space
141.9789 	EXP 	New trial (rep=11, index=1): {u'stimFile': u'+.png', u'corrAns': None}
142.0294 	EXP 	cue: autoDraw = False
142.0294 	EXP 	stimulus: autoDraw = False
142.0294 	EXP 	stimulus: image = u'+.png'
142.1727 	EXP 	cue: autoDraw = True
142.2976 	EXP 	cue: autoDraw = False
143.8290 	EXP 	stimulus: autoDraw = True
143.9385 	EXP 	stimulus: autoDraw = False
