1206.8833 	EXP 	stimulus: autoDraw = True
1207.0166 	EXP 	stimulus: autoDraw = False
1207.2668 	DATA 	Keypress: tab
1209.4999 	EXP 	New trial (rep=10, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1209.5155 	EXP 	cue: autoDraw = False
1209.5155 	EXP 	stimulus: autoDraw = False
1209.5155 	EXP 	stimulus: image = u'+.png'
1209.5155 	EXP 	cue: autoDraw = True
1209.6820 	EXP 	cue: autoDraw = False
1211.1815 	EXP 	stimulus: autoDraw = True
1211.3148 	EXP 	stimulus: autoDraw = False
1213.7979 	EXP 	New trial (rep=10, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1213.8779 	EXP 	cue: autoDraw = False
1213.8779 	EXP 	stimulus: autoDraw = False
1213.8779 	EXP 	stimulus: image = u'x.png'
1213.8779 	EXP 	cue: autoDraw = True
1213.9636 	EXP 	cue: autoDraw = False
1215.4797 	EXP 	stimulus: autoDraw = True
1215.6129 	EXP 	stimulus: autoDraw = False
1215.8297 	DATA 	Keypress: tab
1218.0962 	EXP 	New trial (rep=11, index=0): {u'stimFile': u'x.png', u'corrAns': u'tab'}
1218.1745 	EXP 	cue: autoDraw = False
1218.1745 	EXP 	stimulus: autoDraw = False
1218.1745 	EXP 	stimulus: image = u'x.png'
1218.1745 	EXP 	cue: autoDraw = True
1218.2618 	EXP 	cue: autoDraw = False
1219.7945 	EXP 	stimulus: autoDraw = True
1219.9111 	EXP 	stimulus: autoDraw = False
1220.1946 	DATA 	Keypress: tab
1222.3945 	EXP 	New trial (rep=11, index=1): {u'stimFile': u'+.png', u'corrAns': None}
1222.4101 	EXP 	cue: autoDraw = False
1222.4101 	EXP 	stimulus: autoDraw = False
1222.4101 	EXP 	stimulus: image = u'+.png'
1222.4101 	EXP 	cue: autoDraw = True
1222.5600 	EXP 	cue: autoDraw = False
1224.0759 	EXP 	stimulus: autoDraw = True
1224.2093 	EXP 	stimulus: autoDraw = False
1226.7091 	EXP 	New trial (rep=12, index=0): {u'stimFile': u'+.png', u'corrAns': None}
1226.7249 	EXP 	cue: autoDraw = False
1226.7249 	EXP 	stimulus: autoDraw = False
1226.7249 	EXP 	stimulus: image = u'+.png'
1226.7249 	EXP 	cue: autoDraw = True
1226.8748 	EXP 	cue: autoDraw = False
1228.3908 	EXP 	stimulus: autoDraw = True
1228.5241 	EXP 	stimulus: autoDraw = False
1231.0073 	EXP 	New trial (rep=12, index=1): {u'stimFile': u'x.png', u'corrAns': u'tab'}
